species_code,common_name,scientific_name,prediction_year,region_type,region_code,region_name,continent_code,continent_name,season,start_date,end_date,abundance_mean,total_pop_percent,continent_pop_percent,range_occupied_percent,range_total_percent,range_days_occupation,max_week,max_week_percent_pop
amewoo,American Woodcock,Scolopax minor,2023,state,USA-ME,Maine,NA,North America,postbreeding_migration,2023-08-02,2023-11-29,0.01606111119719552,0.04933099114743236,0.04933099114743236,0.8844566979421977,0.03186454231930626,112,2023-10-18,0.08449054776990639
amewoo,American Woodcock,Scolopax minor,2023,state,USA-ME,Maine,NA,North America,prebreeding_migration,2023-01-18,2023-04-19,0.3635179198764026,0.02826750863181487,0.02826750863181487,0.9933245150258913,0.02223552983780852,56,2023-04-05,0.06455771966449865
amewoo,American Woodcock,Scolopax minor,2023,state,USA-MI,Michigan,NA,North America,breeding,2023-04-26,2023-07-26,0.1944678629693839,0.05985177366271749,0.05985177366271749,0.8711096616751681,0.06154470580682818,98,2023-06-28,0.08823117151149835
amewoo,American Woodcock,Scolopax minor,2023,state,USA-MI,Michigan,NA,North America,postbreeding_migration,2023-08-02,2023-11-29,0.00963060825357799,0.05404893647854245,0.05404893647854245,0.6377540253520865,0.04198300312329017,112,2023-09-27,0.09826373537416902
amewoo,American Woodcock,Scolopax minor,2023,state,USA-MI,Michigan,NA,North America,prebreeding_migration,2023-01-18,2023-04-19,0.3271444285097422,0.04648260085525108,0.04648260085525108,0.9772828901870336,0.03997291379789242,63,2023-04-05,0.0913718593402713
amewoo,American Woodcock,Scolopax minor,2023,state,USA-MN,Minnesota,NA,North America,breeding,2023-04-26,2023-07-26,0.1446072171087708,0.05942473050554727,0.05942473050554727,0.8553599318939308,0.08068909437327458,98,2023-06-07,0.07175925101056
amewoo,American Woodcock,Scolopax minor,2023,state,USA-MN,Minnesota,NA,North America,postbreeding_migration,2023-08-02,2023-11-29,0.01002473654818562,0.07511980860839158,0.07511980860839158,0.5355566977628491,0.04707321026970656,105,2023-09-13,0.18348093487012937
amewoo,American Woodcock,Scolopax minor,2023,state,USA-MN,Minnesota,NA,North America,prebreeding_migration,2023-01-18,2023-04-19,0.1319605748808975,0.02503474430157358,0.02503474430157358,0.9309868499955076,0.05084369765699616,49,2023-04-12,0.07295165911938846
amewoo,American Woodcock,Scolopax minor,2023,state,USA-MO,Missouri,NA,North America,breeding,2023-04-26,2023-07-26,8.61653076775168e-4,2.9436613409341536e-4,2.9436613409341536e-4,0.17549317516347557,0.01376272141675056,35,2023-04-26,0.00101039721416672
amewoo,American Woodcock,Scolopax minor,2023,state,USA-MO,Missouri,NA,North America,nonbreeding,2023-12-06,2023-01-11,6.965654698066942e-5,1.491502062034632e-4,1.491502062034632e-4,0.01429518660970555,0.00264753775185642,14,2023-12-06,0.00170859261359532
